Sunnyvale_California;6947;152771;22
Sunrise_Florida;5179;93734;18
Surprise_Arizona;1255;132677;106
Syracuse_New York;5726;143378;25
Tacoma_Washington;4249;211277;50
Tallahassee_Florida;1904;190894;100
Tamarac_Florida;5611;65199;12
Tampa_Florida;3326;377165;113
Taunton_Massachusetts;1217;56843;47
Taylor_Michigan;2592;61177;24
Taylorsville_Utah;557;60436;11
Temecula_California;375;113054;30
Tempe_Arizona;457;182498;40
Temple_Texas;1067;736;69
Terre Haute_Indiana;1762;60852;35
Thornton_Colorado;3924;136703;35
Thousand Oaks_California;2342;128888;55
Tigard_Oregon;4395;51902;12
Tinley Park_Illinois;3548;56831;16
Toledo_Ohio;3452;278508;81
Topeka_Kansas;2107;126808;60
Torrance_California;7187;147195;20
Tracy_California;4058;89274;22
Trenton_New Jersey;10988;84056;8
Troy_Michigan;2499;83641;33
Tucson_Arizona;2341;530706;227
Tulare_California;2999;62779;21
Tulsa_Oklahoma;2049;40309;197
Turlock_California;43;72796;17
Tuscaloosa_Alabama;1653;99543;60
Tustin_California;7256;80395;11
Tyler_Texas;1946;104798;54
Union City_California;3869;75322;19
Union City_New Jersey;54138;69296;1
Upland_California;4909;76684;16
Urban Honolulu_Hawaii;5813;351792;61
Utica_New York;3619;60652;17
Vacaville_California;3465;98303;28
Valdosta_Georgia;1576;56474;36
Vallejo_California;3955;121299;31
Vancouver_Washington;3763;174826;46
Victoria_Texas;1907;6767;35
Victorville_California;1671;122265;73
Vineland_New Jersey;885;60525;68
Virginia Beach_Virginia;1818;452602;249
Visalia_California;3616;131074;36
Vista_California;5442;101659;19
Waco_Texas;1511;134432;89
Walnut Creek_California;3498;69122;20
Waltham_Massachusetts;4949;63002;13
Warner Robins_Georgia;2121;74388;35
Warren_Michigan;393;135125;34
Warwick_Rhode Island;2328;81579;35
Washington_District of Columbia;11158;68117;61
Waterbury_Connecticut;3796;108272;29
Waterloo_Iowa;1107;67934;61
Watsonville_California;8041;53796;7
Waukegan_Illinois;3725;88182;24
Waukesha_Wisconsin;2917;72363;25
Wellington_Florida;1423;639;45
West Allis_Wisconsin;528;60087;11
West Covina_California;6724;107847;16
West Des Moines_Iowa;1673;6456;39
West Haven_Connecticut;5071;54516;11
West Jordan_Utah;3503;113699;32
West New York_New Jersey;52815;53343;1
West Palm Beach_Florida;1956;108161;55
West Sacramento_California;2472;52981;21
West Valley City_Utah;3841;136574;36
Westland_Michigan;3993;81545;20
Westminster_California;9111;91565;10
Westminster_Colorado;3609;113875;32
Weston_Florida;2783;70015;25
Weymouth Town_Massachusetts;3334;55972;17
Wheaton_Illinois;4746;53389;11
White Plains_New York;5961;58241;10
Whittier_California;5931;86883;15
Wichita Falls_Texas;1452;104724;72
Wichita_Kansas;2448;389902;159
Wilmington_Delaware;6554;71442;11
Wilmington_North Carolina;2282;117525;51
Winston-Salem_North Carolina;1829;242203;132
Woodbury_Minnesota;1982;6882;35
Woodland_California;3861;59068;15
Worcester_Massachusetts;4937;184508;37
Wyoming_Michigan;3067;75567;25
Yakima_Washington;3458;93986;27
Yonkers_New York;1115;200807;18
Yorba Linda_California;3503;68235;19
Youngstown_Ohio;1894;64312;34
Yuba City_California;4585;66845;15
Yucaipa_California;1911;53309;28
Yuma_Arizona;789;94906;120
