"STATEFP10,C,2","COUNTYFP10,C,3","TRACTCE10,C,6","BLOCKCE10,C,4","GEOID10,C,15","NAME10,C,10","MTFCC10,C,5","UR10,C,1","UACE10,C,5","UATYP10,C,1","FUNCSTAT10,C,1","ALAND10,N,14,0","AWATER10,N,14,0","INTPTLAT10,C,11","INTPTLON10,C,12"
32,003,005703,3277,320030057033277,Block 3277,G5040,R,,,S,9131,0,+35.4650524,-114.9137088
32,003,005715,2011,320030057152011,Block 2011,G5040,U,47995,U,S,31126,0,+35.9608511,-115.0804744
32,003,002828,1010,320030028281010,Block 1010,G5040,U,47995,U,S,76900,0,+36.0370882,-115.1667099
32,003,002204,2001,320030022042001,Block 2001,G5040,U,47995,U,S,161867,0,+36.1354949,-115.1971388
32,003,003620,1019,320030036201019,Block 1019,G5040,U,47995,U,S,16824,0,+36.2817539,-115.1808953
32,003,005711,2009,320030057112009,Block 2009,G5040,U,47995,U,S,14311,0,+35.9770477,-115.0928149
32,003,005703,2009,320030057032009,Block 2009,G5040,R,,,S,10161,0,+36.0023222,-114.7840308
32,003,005703,3128,320030057033128,Block 3128,G5040,R,,,S,25000,0,+35.4712570,-115.2056714
32,003,003415,5000,320030034155000,Block 5000,G5040,U,47995,U,S,16110,0,+36.2091513,-115.2251169
32,003,005831,1004,320030058311004,Block 1004,G5040,U,47995,U,S,150339,0,+36.0203110,-115.2455872
32,003,007500,1086,320030075001086,Block 1086,G5040,R,,,S,20179554,0,+36.1035161,-115.7678986
32,003,005354,2017,320030053542017,Block 2017,G5040,U,47995,U,S,10385,0,+36.0280657,-115.0240714
32,003,005435,2025,320030054352025,Block 2025,G5040,U,47995,U,S,36298,0,+35.9923593,-114.9254993
32,003,005902,1309,320030059021309,Block 1309,G5040,R,,,S,4104660,0,+36.4762711,-114.8378719
32,003,004918,2010,320030049182010,Block 2010,G5040,U,47995,U,S,28537,0,+36.1818868,-115.0320598
32,003,005436,4005,320030054364005,Block 4005,G5040,U,47995,U,S,28066,0,+36.0782737,-115.0173077
32,003,005318,1007,320030053181007,Block 1007,G5040,U,47995,U,S,36396,0,+36.0358967,-115.0779113
32,003,000528,3001,320030005283001,Block 3001,G5040,U,47995,U,S,32746,0,+36.1864298,-115.0845777
32,003,005502,4011,320030055024011,Block 4011,G5040,R,,,S,190930,0,+35.9666857,-114.8043983
32,003,005703,3235,320030057033235,Block 3235,G5040,R,,,S,37909944,0,+35.2309339,-114.8357217
32,003,005827,2028,320030058272028,Block 2028,G5040,R,,,S,39988,0,+35.8432260,-115.6638645
32,003,005613,4301,320030056134301,Block 4301,G5040,R,,,S,4009,0,+36.0371239,-114.8020516
32,003,007100,1004,320030071001004,Block 1004,G5040,U,47995,U,S,131246,0,+36.2088577,-115.0736937
32,003,007600,3147,320030076003147,Block 3147,G5040,R,,,S,81087,0,+36.4381211,-114.1799016
32,003,003408,1039,320030034081039,Block 1039,G5040,U,47995,U,S,5547,0,+36.2386977,-115.2524973
32,003,003423,4004,320030034234004,Block 4004,G5040,U,47995,U,S,45348,0,+36.1838248,-115.2214063
32,003,005711,1054,320030057111054,Block 1054,G5040,R,,,S,865938,0,+35.9236998,-114.9357728
32,003,005702,2012,320030057022012,Block 2012,G5040,U,11431,C,S,10180,0,+35.1660651,-114.5796702
