"BLOCKCE,C,4","BLOCKID10,C,15","POP10,N,9,0"
1014,320019506001014,0
1121,320019506001121,0
2005,320019506002005,0
1166,320019501001166,0
1260,320019507001260,0
1045,320019503021045,0
1022,320019503021022,0
2037,320019506002037,96
2073,320019505002073,0
3010,320019506003010,79
3001,320019503023001,0
3036,320019503023036,18
2006,320019507002006,6
4005,320019507004005,12
2040,320019507002040,0
1700,320019501001700,0
1743,320019501001743,0
1758,320019501001758,0
1759,320019501001759,0
1731,320019501001731,0
1750,320019501001750,0
2037,320019505002037,39
2124,320019505002124,9
2040,320019505002040,83
2024,320019505002024,0
2055,320019505002055,0
2048,320019505002048,0
1083,320019505001083,0
3036,320019503013036,30
3018,320019503013018,0
4053,320019507004053,6
1026,320019503021026,27
3055,320019503013055,11
4061,320019507004061,0
2011,320019501002011,0
2008,320019501002008,0
2012,320019501002012,0
1225,320019506001225,0
1014,320019507001014,42
1229,320019506001229,4
1781,320019501001781,0
1783,320019501001783,0
2068,320019505002068,10
1007,320019505001007,0
2122,320019505002122,0
2119,320019505002119,0
2044,320019505002044,2
2058,320019505002058,0
1016,320019505001016,0
1077,320019501001077,0
1494,320019501001494,0
1516,320019501001516,0
1051,320019505001051,7
1514,320019501001514,2
1482,320019501001482,0
2010,320019501002010,17
1076,320019501001076,0
1269,320019507001269,10
1264,320019507001264,1
1278,320019507001278,0
1010,320019503021010,19
1239,320019507001239,0
2115,320019505002115,0
1078,320019503021078,0
1376,320019507001376,0
1374,320019507001374,0
2188,320019501002188,0
1786,320019501001786,0
1551,320019501001551,3
1539,320019501001539,0
1549,320019501001549,8
1582,320019501001582,0
1061,320019505001061,0
1509,320019501001509,0
1506,320019501001506,0
1079,320019501001079,0
1103,320019505001103,0
1081,320019505001081,0
1473,320019501001473,0
1818,320019501001818,0
3012,320019507003012,15
1167,320019506001167,0
1598,320019501001598,5
1075,320019501001075,0
1587,320019501001587,1
1585,320019501001585,3
1026,320019504001026,0
1025,320019504001025,0
1073,320019504001073,0
1060,320019504001060,0
1780,320019501001780,0
1152,320019501001152,0
1215,320019501001215,0
1323,320019501001323,0
1182,320019501001182,0
1320,320019501001320,0
1209,320019501001209,0
1212,320019501001212,4
1439,320019501001439,0
1462,320019501001462,0
1459,320019501001459,0
1479,320019501001479,0
1107,320019504001107,0
1043,320019504001043,0
1024,320019504001024,0
2079,320019501002079,18
2073,320019501002073,2
2130,320019505002130,0
1316,320019501001316,0
1000,320019501001000,0
1094,320019505001094,22
1573,320019501001573,0
1674,320019501001674,0
1677,320019501001677,0
1619,320019501001619,43
1044,320019504001044,0
1214,320019501001214,0
1283,320019506001283,0
1052,320019506001052,0
1279,320019506001279,0
1618,320019501001618,38
1045,320019506001045,0
1063,320019506001063,0
1088,320019504001088,0
2093,320019501002093,0
2091,320019505002091,0
1630,320019501001630,0
1034,320019504001034,0
1553,320019501001553,0
1623,320019501001623,0
3004,320019506003004,7
1377,320019501001377,0
1105,320019501001105,0
1123,320019507001123,0
1013,320019503021013,43
1100,320019501001100,0
4010,320019507004010,33
1005,320019501001005,0
1113,320019501001113,0
1006,320019501001006,0
1119,320019501001119,0
1249,320019501001249,0
1269,320019506001269,0
3243,320019507003243,0
3042,320019507003042,15
1131,320019506001131,0
1157,320019506001157,0
1168,320019506001168,0
1172,320019506001172,0
1161,320019506001161,0
1160,320019506001160,0
1165,320019506001165,7
3244,320019507003244,2
1802,320019501001802,0
1654,320019501001654,0
1644,320019501001644,0
1814,320019501001814,0
1634,320019501001634,0
1641,320019501001641,0
1604,320019501001604,50
3109,320019507003109,0
1161,320019501001161,0
1253,320019501001253,0
3071,320019507003071,0
3090,320019507003090,0
3051,320019507003051,0
3094,320019507003094,0
1173,320019506001173,0
3078,320019507003078,0
3076,320019507003076,0
2045,320019505002045,0
3124,320019507003124,0
1128,320019507001128,0
1119,320019507001119,0
1140,320019507001140,0
3047,320019507003047,0
3146,320019507003146,2
3039,320019507003039,8
1164,320019507001164,0
3239,320019507003239,0
1244,320019506001244,29
3019,320019506003019,21
1146,320019501001146,0
1179,320019501001179,0
3234,320019507003234,0
3179,320019507003179,0
3174,320019507003174,0
1108,320019507001108,0
3194,320019507003194,0
3235,320019507003235,0
1094,320019507001094,7
1042,320019507001042,0
1124,320019507001124,0
1181,320019507001181,0
1408,320019501001408,0
1035,320019505001035,5
1798,320019501001798,0
1293,320019501001293,0
1275,320019501001275,0
1311,320019501001311,0
1276,320019501001276,0
1277,320019501001277,0
3106,320019507003106,2
3118,320019507003118,0
3110,320019507003110,0
3123,320019507003123,0
1062,320019507001062,4
1155,320019507001155,0
1135,320019507001135,0
1056,320019507001056,0
1141,320019507001141,0
1178,320019507001178,0
1331,320019507001331,0
1288,320019507001288,0
1291,320019507001291,0
2023,320019503012023,8
3066,320019503013066,20
1043,320019503021043,26
1062,320019505001062,4
2116,320019505002116,0
2114,320019505002114,0
1227,320019506001227,8
1184,320019506001184,13
1242,320019501001242,0
1078,320019506001078,0
1091,320019506001091,0
1021,320019501001021,0
1012,320019501001012,0
1022,320019501001022,0
2205,320019501002205,0
1000,320019503011000,9
1157,320019507001157,0
2043,320019503012043,0
1692,320019501001692,0
1699,320019501001699,0
1776,320019501001776,0
1233,320019501001233,0
2054,320019505002054,0
1102,320019501001102,0
1286,320019501001286,0
1034,320019503021034,4
1241,320019501001241,0
1238,320019506001238,2
2062,320019506002062,0
2064,320019506002064,0
2065,320019506002065,0
2066,320019506002066,3
4019,320019503024019,20
2049,320019503012049,0
